地域,入院受療率_人口10万対,外来受療率_人口10万対,入院受療率_pct,外来受療率_pct,入院受療率_人口10万対_H29,外来受療率_人口10万対_H29,入院受療率_変化率_pct,外来受療率_変化率_pct
全国,945.0,5850.0,0.945,5.85,1036.0,5675.0,-8.783783783783784,3.0837004405286343
北海道,1326.0,5331.0,1.326,5.331,1505.0,5133.0,-11.893687707641195,3.85739333722969
青森,1070.0,5981.0,1.07,5.981,1095.0,6235.0,-2.28310502283105,-4.073777064955894
岩手,1032.0,5369.0,1.032,5.369,1094.0,5597.0,-5.6672760511883,-4.073610862962301
宮城,836.0,5381.0,0.836,5.381,843.0,5884.0,-0.8303677342823249,-8.54860639021074
秋田,1204.0,5631.0,1.204,5.631,1239.0,5823.0,-2.824858757062147,-3.2972694487377643
山形,1032.0,6008.0,1.032,6.008,1110.0,5925.0,-7.027027027027027,1.40084388185654
福島,954.0,5752.0,0.954,5.752,1013.0,5608.0,-5.824284304047384,2.5677603423680457
茨城,802.0,5153.0,0.802,5.153,884.0,5162.0,-9.276018099547512,-0.1743510267338241
栃木,846.0,5637.0,0.846,5.637,918.0,5736.0,-7.8431372549019605,-1.7259414225941423
群馬,976.0,6114.0,0.976,6.114,981.0,5379.0,-0.509683995922528,13.664249860568878
埼玉,702.0,5435.0,0.702,5.435,753.0,5243.0,-6.772908366533864,3.6620255578867065
千葉,741.0,5632.0,0.741,5.632,755.0,5133.0,-1.8543046357615895,9.721410481200078
東京,671.0,5569.0,0.671,5.569,745.0,5506.0,-9.93288590604027,1.1442063203777697
神奈川,665.0,5356.0,0.665,5.356,706.0,5331.0,-5.807365439093484,0.4689551678859501
新潟,939.0,5427.0,0.939,5.427,1069.0,5256.0,-12.160898035547241,3.2534246575342465
富山,1193.0,5394.0,1.193,5.394,1360.0,5397.0,-12.279411764705882,-0.055586436909394105
石川,1158.0,5368.0,1.158,5.368,1301.0,5145.0,-10.991544965411222,4.334305150631682
福井,1082.0,5709.0,1.082,5.709,1226.0,5437.0,-11.745513866231647,5.0027588743792535
山梨,985.0,5952.0,0.985,5.952,1067.0,5531.0,-7.6850984067478905,7.611643464111372
長野,879.0,5201.0,0.879,5.201,935.0,5033.0,-5.989304812834225,3.3379694019471486
岐阜,793.0,6219.0,0.793,6.219,877.0,6042.0,-9.578107183580387,2.929493545183714
静岡,808.0,5816.0,0.808,5.816,857.0,5091.0,-5.717619603267211,14.240817128265567
愛知,712.0,6504.0,0.712,6.504,756.0,5952.0,-5.82010582010582,9.274193548387096
三重,915.0,6459.0,0.915,6.459,960.0,6055.0,-4.6875,6.672171758876962
滋賀,812.0,5144.0,0.812,5.144,883.0,5263.0,-8.040770101925254,-2.261067832034961
京都,917.0,4867.0,0.917,4.867,1084.0,5014.0,-15.40590405904059,-2.9317909852413244
大阪,921.0,6222.0,0.921,6.222,1004.0,5656.0,-8.266932270916334,10.007072135785007
兵庫,957.0,6223.0,0.957,6.223,1028.0,5918.0,-6.906614785992218,5.1537681649205815
奈良,926.0,5305.0,0.926,5.305,1035.0,5102.0,-10.531400966183575,3.978831830654645
和歌山,1105.0,6846.0,1.105,6.846,1215.0,6446.0,-9.053497942386832,6.205398696866274
鳥取,1126.0,5914.0,1.126,5.914,1268.0,5638.0,-11.198738170347003,4.895352962043278
島根,1254.0,6399.0,1.254,6.399,1341.0,6267.0,-6.487695749440715,2.106270943034945
岡山,1054.0,5420.0,1.054,5.42,1175.0,5766.0,-10.297872340425531,-6.000693721817551
広島,1084.0,6346.0,1.084,6.346,1170.0,5513.0,-7.350427350427351,15.109740613096317
山口,1534.0,6582.0,1.534,6.582,1706.0,6575.0,-10.082063305978899,0.1064638783269962
徳島,1418.0,6058.0,1.418,6.058,1616.0,6086.0,-12.252475247524753,-0.46007229707525465
香川,1195.0,6807.0,1.195,6.807,1271.0,6952.0,-5.979543666404406,-2.0857307249712314
愛媛,1217.0,6598.0,1.217,6.598,1360.0,5686.0,-10.514705882352942,16.039395005276116
高知,1785.0,5548.0,1.785,5.548,2101.0,5788.0,-15.040456925273679,-4.14651002073255
福岡,1319.0,6363.0,1.319,6.363,1450.0,6505.0,-9.034482758620689,-2.18293620292083
佐賀,1456.0,6565.0,1.456,6.565,1603.0,7115.0,-9.170305676855897,-7.730147575544624
長崎,1651.0,6579.0,1.651,6.579,1803.0,6812.0,-8.430393788130893,-3.420434527304756
熊本,1531.0,6323.0,1.531,6.323,1747.0,6572.0,-12.36405266170578,-3.788800973828363
大分,1469.0,5646.0,1.469,5.646,1666.0,5553.0,-11.824729891956782,1.6747703943814154
宮崎,1324.0,6565.0,1.324,6.565,1485.0,6011.0,-10.84175084175084,9.216436533022792
鹿児島,1743.0,6451.0,1.743,6.451,1880.0,6138.0,-7.287234042553191,5.099380905832518
沖縄,985.0,4528.0,0.985,4.528,1184.0,4586.0,-16.80743243243243,-1.264718709114697
